feature 特征
visualization 可视化
redundant 冗余
discrepancies 差异
inconsistent 不符的
dependency 依赖
duplicate 重复
extraction 提取
data_integration 数据集成
normalization 正规化
aggregation 聚合
obtain 获取
representation 表示
discretization 离散
tendency 趋势
quantile 分位数
correspond 对应
interval 间隔
dispersion 分散
granularitie 粒度
precision 精确
trimmed 修剪
holistic 整体的
arithmetic 算数
deviation 偏差
variance 方差
Scatter 分散
property 属性
histogram 直方图
consists_of 由-组成
reflect 反应体现
unusual 异常
occurrences 发生
univariate 单因素
coordinate 坐标
plane 平面
perception 感知
regression 回归
polynomial 多项式
corresponding 相应的
inspection 检查
suspicious 可疑的
detect 检测
partition 划分
specify 指定
decimal 十进制
aggregation 聚合
metadata 元数据
conflict 冲突
correlation 相关
coefficient 系数
dot-product 点积
causality 因果关系
appropriate 适当的
attribute 属性
compression 压缩
heuristic 启发式的
alternative 替代的
integrate 整合
forecast 预测
particular 特定的
exclude 排除
multiple 倍数
significant 重要的
transaction 交易
conceptual 概念的
hierarchy 分层
extraction 提取
convert 转换
suitable 合适的
discrete 离散的
assume 假定
estimate 估计
supervised 监督的
accompany 陪伴
generalize 概括
robustness 鲁棒性
interpret 解释
split 分裂
denote 表示
phase 阶段
reflect 反应
continuous 连续的
advance 提前
induction 归纳
prune 修剪
halt 停止
validate 验证
foundation 基础
hypothesis 假设
belong 属于
constant 连续的，常数
category 类别
implement 实施
arbitrary 任意的
actual 实际的
modify 修改
assess 评估
association 联想
purchase 购买
quantitative 数量的
apriori 先验的
principle 原理
candidate 候选人
facilitate 促进
bottleneck 瓶颈
descend 下降
compact 压缩，契约
accumulate 累积
generate 生成
conquer 克服
ancestor 祖先
finite 有限的
implication 含义
metric 度量的
interval 间隔
semantic 语义的
subjective 主观的
incorporate 合并
constraint 约束
symmetry 对称
nominal 名词性的
approximate 近似的
exponent 指数
logarithm 对数
criterion 标准
diameter 直径
optimum 最佳的
prototype 原型
previous 以前的
preserve 保存
inherent 固有的
crucial 关键的
utilize 利用
individual 个体的
fraction 分数
drawback 缺点
intensive 加强的
recommend 推荐
collaborate 合作
absolute 绝对的
component 成分
excessive 过度的
