jeopardize 危害，危及
armament 军备，武器
edifice 大厦，（宏伟的）建筑
conscript 征召入伍
stockpile 储备
mammoth 巨大的
gargantuan 巨大的
juggernaut 强大力量
guarantee 担保，确保
cataclysm 灾难
chimera 幻想
stalemate 僵局
conscience 良心，良知
eliminate 消除
feat 功绩
preeminence 卓越
deadlock 僵局，死锁
spawn 产卵，造成
advent 出现，到来
invariably 总是，始终地，一贯地
unleash 发泄
outright 立即，完全的
countermeasure 对策
incarceration 监禁
chasm 巨大差距
appall 使震惊
sway 使动摇，说服
intrinsically 本质上地
ultimate 最终的
electrifying 令人激动地，使通电
synthesize 合成
subject_to 从属于，使服从
unresolved 未解决的
spark 火花，引发
yield 产生，让步
in_panic 惊慌
