analysis 分析
approach 接近，方法
area 地区领域
assessment 评价
assume 假设
authority 权威
available 可提供的
benefit 好处，受益
concept 概念
consistent 一致的，连续的
constitutional 宪法的
context 环境，上下文
contract 收缩，合同
create 创造
data 数据
definition 定义
derived 由来，派生
distribution 分布
economic 经济的
environment 环境
establish 建立
estimate 估计
evidence 证据
export 出口
factors 因素
financial 金融的
formula 公式
function 功能
identified 确认，识别（过去式）
income 收入
indicate 表明，指出
individual 个人的，个体的
interpretation 理解
involved 涉及到
issues 问题
labour 劳动力
legal 合法的
legislation 立法
major 主要的 专业
method 方法
occur 出现，发生
percent 百分之
period 时期
policy 政策
principle 原则，原理
procedure 步骤
process 过程，处理
required 必须的
research 研究
response 回应
role 角色，作用
section 部分
sector 行业 区域
significant 重要的
similar 相似的
source 源头
specific 具体的，特定的
structure 结构
theory 理论
variables 变量
