achieve 获得，实现
acquisition 收购，获得
administration 管理
affect 影响
appropriate 合适的，适当的
aspects 方面
assistance 协助
categories 种类
chapter 章节
commission 委托
community 社区
complex 组成的，复杂的
computer 电脑
conclusion 结论
conduct 做，实施
consequences 后果
construction 建设
consumer 顾客
credit 信用
cultural 文化的
design 设计
distinction 区别
elements 元素
equation 等式
evaluation 估计，评价
features 特点，特征
final 最后的
focus 关注，集中
impact 影响
injury 受伤
institute 机构，实施
investment 投资
items 项目，条款
journal 期刊，（专业的）刊物
maintenance 维修
normal 正常的
obtained 获得
participation 参与
perceive 感知，注意到
positive 积极的
potential 潜在的
previous 之前的
primary 主要的
purchase 购买
range 范围
region 地区
regulations 规则
relevant 相关的
resident 居民
resources 资源
restricted 受限
security 安全
sought 寻找（过去式）
select 挑选
site 地点，选址
strategies 策略
survey 调查
text 文本
traditional 传统的
transfer 转移
