access 获得，接近，入口
adequate 足够的
annual 年度的
apparent 显然的
approximate 近似的
attitudes 态度
attributed 归因于
civil 公民的，国家的
code 代码
commitment 承诺，委托
communication 交流
concentration 浓度，集中
conference 会议
contrast 对比
cycle 循环
debate 辩论
despite 尽管
dimensions 维度
domestic 国内的
emerge 出现
error 错误
ethnic 民族的
goals 目标
granted 授予
hence 因此
hypothesis 假说
implementation 实施
implications 含义，暗示
imposed 强加于
integration 结合，整合
internal 内部的
investigation 调查
job 工作
label 标签
mechanism 机制
obvious 明显的
occupational 职业的
option 选择
output 产出
overall 整体的
parallel 平行
parameters 参数
phase 阶段
predicted 预测
principal 主要的
prior 先前的
professional 专业的
project 项目
promote 促进
regime 政权
resolution 决心，解决
retained 保留，保持
series 系列
statistics 统计
status 地位，状态
stress 压力
subsequent 紧随其后的
sum 总量
summary 总结
undertaken 承担
