abstract 抽象的，摘要
accurate 准确的
acknowledge 承认
aggregate 总计
allocation 分配
assigned 指派，分配
attached 附加的
author 作者
bond 纽带，联系
brief 简短的
capable 有能力的
cite 提及，引用
cooperative 合作的
discrimination 区别对待，歧视
display 显示
diversity 多样性
domain 领域
edition 版本
enhanced 提高，增强
estate 地产
exceed 超过
expert 专家
explicit 清晰地，明确的
federal 联邦的
fees 费用
flexibility 灵活性
furthermore 此外
gender 性别
ignored 忽视
incentive 激励
incidence 发生（的程度）
incorporate 使并入
index 索引
inhibition 抑制，拘束感
initiatives 主动性
input 输入
instructions 指示，说明
intelligence 智力
interval 间隔
lecture 讲座
migration 迁移
minimum 最小
ministry 部门
motivation 动机
neutral 中立的
nevertheless 尽管如此
overseas 海外的
precede 先于...发生
presumption 推定，可能的事
rational 合理的，理性的
recovery 恢复
revealed 揭露，揭示
scope （实现的）机会，范围
subsidiary 次要的，附属的
tapes 带子，磁带，胶带
trace 追踪，痕迹
transformation 转变
transport 交通，运输
underlying 潜在的
utility 实用，效用
