briefly 简要的
superior 优越的
significantly 明显的
previous 先前的
constraint 约束
regard 注意，认为
conjunction 结合
foundation 基础
extend 延伸，扩大
parallel 平行的
distant 遥远的
constant 持续的，常数
critical 关键的，批评的
compete 竞争
overall 全体的
stack 堆
compose 组成
identical 相同的
implement 实施
prevent 防止
subsequent 随后的
suspect 怀疑
arrange 安排
reservation 保留，预定
cater 满足需要
rely 依赖
decorate 装饰
facial 面部的
gesture 手势
instruction 授课，指令
furniture 家具
appetite 欲望，食欲
wallet 钱包
guarantee 保证
unique 独特的
attend 出席，陪伴
plenty 大量
fascinate 入迷
constitute 构成
investigate 调查
validate 验证，使合法
justify 证明，辩护
reliable 可靠的
doubt 怀疑
defeat 挫败
addition 附加
particular 特别的
generalize 概括
consult 咨询
persuade 劝说，说服
remian 保持，剩余
application 应用，申请
determine 决定，查明
fright 惊吓，恐怖
stage 阶段
eliminate 消除，排除
trace 追踪，痕迹
extent 程度
thoroughly 彻底，完全
visualize 可视化，想象
ethical 伦理的
lapse 小错，过失
commit 犯罪，承诺
serious 严重的，认真的
plagiarism 抄袭
lift 提起，举高
entirely 完全地
patch 补丁，碎片
paste 粘贴
quotation 引文，引用
borrow 借
pose 造成，引起，姿势
regard_as 把...视为
cite 提及，引用
guilty 内疚的
citation 引文，引用
accurate 精确的
throughout 各处，自始至终
vital 必不可少的，至关重要的
globalize 全球化
competent 有能力的
respect 尊重
expectation 期望，预料
devalue 贬值
inherent 固有的，内在的
spot 斑点，看出
reason 原因，推理
conversation 会话
ordinary 普通的
demand 需要
distract 使分心
verbal 文字的，口头的
interference 干扰
assign 分配，指派
assignment 分配，任务
present 当前的，出席，礼物，授予，提出，显示
introductory 介绍的，引导的
descriptive 描述的
chronological 时间顺序的
complete 完全地，完成
script 剧本，稿
manuscript 手稿，原稿
outline 概述
deliver 递送
brief 简短的
engage 吸引
tone 语气
cluster 簇，聚集
inform 通知
statement 陈述
phrase 短语
vague 模糊的
declare 公布，声明
accomplish 完成
centric 中心的
uppermost 最上面的
belief 信心，信念
trait 特点，特征
disposition 性格
occasion 时机，场合
circulate 循环，散步
anticipate 预料
object 物体，反对
objection 反对
advance 提前，预先的
remark 谈论
cooperate 合作
corporation 公司
attach 附上，固定上
dominate 支配，影响
inhibit 阻止，抑制
prohibit 禁止
reveal 揭露，揭示
convert 转换
confirm 确认，证实
register 注册，登记
reserve 预定，储备
conform 顺从，遵守
propose 建议，打算
literature 文学
rapid 瞬间的，迅速的
associate 联想，联系
attempt 试图
regardless 不顾，不加理会
movement 运动
inspect 检查
